# microns, n, k
4.889638371345976786e-01 4.388596327039268274e+00 5.070000000000024487e-01
4.899169830159517125e-01 4.381035238570735402e+00 5.020000000000021112e-01
4.908738521234047303e-01 4.373681084690715259e+00 4.970000000000022178e-01
4.918344663154270435e-01 4.366411983787163997e+00 4.917500000000024629e-01
4.927988476219279379e-01 4.359105304752343812e+00 4.865000000000020974e-01
4.937670182459395485e-01 4.351741728787695607e+00 4.812500000000021760e-01
4.947390005653213296e-01 4.344197611021954231e+00 4.760000000000023102e-01
4.957148171344836762e-01 4.336700719351663125e+00 4.715000000000020841e-01
4.966944906861328057e-01 4.329474780450194515e+00 4.670000000000021911e-01
4.976780441330361238e-01 4.322377310415625118e+00 4.625000000000019096e-01
4.986655005698079623e-01 4.315317376229579338e+00 4.580000000000020166e-01
4.996568832747181332e-01 4.308340666554773435e+00 4.537500000000019851e-01
5.006522157115204097e-01 4.301495772176830101e+00 4.495000000000017315e-01
5.016515215313038789e-01 4.294702577358672002e+00 4.452500000000018110e-01
5.026548245743664989e-01 4.287856643017860847e+00 4.410000000000018905e-01
5.036621488721106932e-01 4.281099936198812017e+00 4.372500000000017484e-01
5.046735186489622604e-01 4.274577931880543247e+00 4.335000000000018283e-01
5.056889583243123765e-01 4.268198437031831993e+00 4.297500000000015752e-01
5.067084925144823560e-01 4.261922204360278243e+00 4.260000000000016551e-01
5.077321460347136162e-01 4.255721586771462839e+00 4.222500000000017351e-01
5.087599439011806224e-01 4.249569674205019965e+00 4.185000000000014819e-01
5.097919113330289242e-01 4.243429522673254795e+00 4.147500000000015619e-01
5.108280737544375061e-01 4.237213126328871482e+00 4.110000000000016418e-01
5.118684567967071164e-01 4.231072405986751939e+00 4.077500000000015001e-01
5.129130863003739105e-01 4.225160652827225860e+00 4.045000000000015805e-01
5.139619883173481840e-01 4.219393147196806026e+00 4.012500000000013833e-01
5.150151891130804183e-01 4.213739146505497857e+00 3.980000000000014637e-01
5.160727151687540815e-01 4.208182421442053567e+00 3.947500000000015441e-01
5.171345931835046317e-01 4.202714339400888122e+00 3.915000000000012914e-01
5.182008500766664971e-01 4.197334795366149507e+00 3.882500000000013718e-01
5.192715129900480342e-01 4.192070329662811901e+00 3.850000000000014522e-01
5.203466092902343521e-01 4.186826547192068482e+00 3.815000000000016156e-01
5.214261665709195581e-01 4.181504184178589156e+00 3.780000000000017235e-01
5.225102126552666482e-01 4.176110498980428076e+00 3.745000000000014984e-01
5.235987755982983716e-01 4.170573277878119711e+00 3.710000000000015508e-01
